"효능군","그룹구분","일반명코드","성분코드","성분명","제품코드","제품명","업체명","급여구분","공고번호","공고일자"
"혈압강하작용의약품","Group 10","214I0025","fimasartan","717100ATB","665508490","듀얼로우정30/2.5밀리그램_(1정)","한국유니온제약(주)","비급여","20170079","2017-02-16"
"혈압강하작용의약품","Group 10","214I0025","fimasartan","717100ATB","669502750","듀이젠정30/2.5밀리그램(피마사르탄칼륨삼수화물, 에스암로디핀베실산염)_(1정)","(주)씨티씨바이오","비급여","20170079","2017-02-16"
"혈압강하작용의약품","Group 7","214G0017","S-amlodipine","717100ATB","669502750","듀이젠정30/2.5밀리그램(피마사르탄칼륨삼수화물, 에스암로디핀베실산염)_(1정)","(주)씨티씨바이오","비급여","20170079","2017-02-16"
"혈압강하작용의약품","Group 10","214I0025","fimasartan","717100ATB","693202500","아디카브정30/2.5밀리그램_(1정)","(주)한국글로벌제약","비급여","20170079","2017-02-16"
"혈압강하작용의약품","Group 7","214G0017","S-amlodipine","717100ATB","693202500","아디카브정30/2.5밀리그램_(1정)","(주)한국글로벌제약","비급여","20170079","2017-02-16"
"혈압강하작용의약품","Group 10","214I0025","fimasartan","717100ATB","694003960","듀카노바정30/2.5밀리그램(피마사르탄, 에스암로디핀)_(1정)","대웅바이오(주)","비급여","20170079","2017-02-16"
"혈압강하작용의약품","Group 7","214G0017","S-amlodipine","717100ATB","694003960","듀카노바정30/2.5밀리그램(피마사르탄, 에스암로디핀)_(1정)","대웅바이오(주)","비급여","20170079","2017-02-16"
"혈압강하작용의약품","Group 7","214G0017","S-amlodipine","717100ATB","698504690","듀카나젠정30/2.5밀리그램_(1정)","(주)테라젠이텍스","비급여","20170079","2017-02-16"
"혈압강하작용의약품","Group 10","214I0025","fimasartan","717100ATB","698504690","듀카나젠정30/2.5밀리그램_(1정)","(주)테라젠이텍스","비급여","20170079","2017-02-16"
"당뇨병용제","Group 1","396A0001","metformin","718300ATR","645907340","다플로엠서방정10/1000밀리그램_(1정)","동광제약(주)","비급여","20200423","2020-09-24"
"당뇨병용제","Group 5","396E0001","dapagliflozin","718300ATR","645907340","다플로엠서방정10/1000밀리그램_(1정)","동광제약(주)","비급여","20200423","2020-09-24"
"당뇨병용제","Group 5","396E0001","dapagliflozin","718300ATR","652607190","젠시가메트서방정10/1000밀리그램_(1정)","알보젠코리아(주)","비급여","20200423","2020-09-24"
"당뇨병용제","Group 1","396A0001","metformin","718300ATR","652607190","젠시가메트서방정10/1000밀리그램_(1정)","알보젠코리아(주)","비급여","20200423","2020-09-24"
"당뇨병용제","Group 5","396E0001","dapagliflozin","718300ATR","669806300","다파리진듀오서방정10/1000밀리그램_(1정)","구주제약(주)","비급여","20200423","2020-09-24"
"당뇨병용제","Group 1","396A0001","metformin","718300ATR","669806300","다파리진듀오서방정10/1000밀리그램_(1정)","구주제약(주)","비급여","20200423","2020-09-24"
"당뇨병용제","Group 1","396A0001","Metformin","721800ATR","643309340","듀비메트에스서방정0.25/50/750밀리그램_(1정)","(주)종근당","비급여","20200423","2020-09-24"
"당뇨병용제","Group 6","396F0007","Sitagliptin","721800ATR","643309340","듀비메트에스서방정0.25/50/750밀리그램_(1정)","(주)종근당","비급여","20200423","2020-09-24"
"당뇨병용제","Group 4","396D0001","Lobeglitazone","721800ATR","643309340","듀비메트에스서방정0.25/50/750밀리그램_(1정)","(주)종근당","비급여","20200423","2020-09-24"
"당뇨병용제","Group 1","396A0001","Metformin","722000ATR","643309360","듀비메트에스서방정0.25/50/1000밀리그램_(1정)","(주)종근당","비급여","20200423","2020-09-24"
"당뇨병용제","Group 6","396F0007","Sitagliptin","722000ATR","643309360","듀비메트에스서방정0.25/50/1000밀리그램_(1정)","(주)종근당","비급여","20200423","2020-09-24"
"당뇨병용제","Group 4","396D0001","Lobeglitazone","722000ATR","643309360","듀비메트에스서방정0.25/50/1000밀리그램_(1정)","(주)종근당","비급여","20200423","2020-09-24"
"지질저하제","Group 1","218A0005","Atorvastatin ","722600ATB","076800060","애드타미브플러스정10/40/10밀리그램_(1정)","애드파마(주)","비급여","20170079","2017-02-16"
"혈압강하작용의약품","Group 7","214G0001","Amlodipine ","722600ATB","076800060","애드타미브플러스정10/40/10밀리그램_(1정)","애드파마(주)","비급여","20170079","2017-02-16"
"당뇨병용제","Group 1","396A0001","Metformin","722900ATR","655605650","이글듀오서방정0.3/1000밀리그램(이나보글리플로진, 메트포르민염산염)_(1정)","한올바이오파마(주)","비급여","20200423","2020-09-24"
"당뇨병용제","Group 1","396A0001","Metformin","722900ATR","694004060","베나메트서방정0.3/1000밀리그램(이나보글리플로진, 메트포르민염산염)_(1정)","대웅바이오(주)","비급여","20200423","2020-09-24"
"소화성궤양용제","Group 2","232B0008","Rabeprazole","723400ATB","642106080","라베피드정20/600밀리그램_(1정)","(주)유한양행","비급여","20220251","2022-05-27"
"당뇨병용제","Group 4","396D0002","Pioglitazone","724400ATB","671807770","자누피오정100/30밀리그램(시타글립틴,피오글리타존)_(1정)","대원제약(주)","비급여","20200423","2020-09-24"
"당뇨병용제","Group 6","396F0007","Sitagliptin","724400ATB","671807770","자누피오정100/30밀리그램(시타글립틴,피오글리타존)_(1정)","대원제약(주)","비급여","20200423","2020-09-24"
"해열진통소염제","Group 1","114A0032","Naproxen","725300ATB","644704980","수벡스정_(1정)","에스케이케미칼(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 4","114E0004","Sumatriptan","725300ATB","644704980","수벡스정_(1정)","에스케이케미칼(주)","비급여","20170079","2017-02-16"
"지질저하제","Group 1","218A0006","Rosuvastatin ","725600ACS","643508730","오메스트연질캡슐10/1000밀리그램_(1캡슐)","한미약품(주)","비급여","20170079","2017-02-16"
"당뇨병용제","Group 1","396A0001","Metformin","726300ATR","623800220","알로글립틴메트서방정25/1000밀리그램(알로글립틴,메트포르민염산염)_(1정)","(주)셀트리온","비급여","20200423","2020-09-24"
"당뇨병용제","Group 6","396F0001","Alogliptin","726300ATR","623800220","알로글립틴메트서방정25/1000밀리그램(알로글립틴,메트포르민염산염)_(1정)","(주)셀트리온","비급여","20200423","2020-09-24"
"소화성궤양용제","Group 2","232B0008","Rabeprazole","727500ATB","645307000","라베프탑정10/400밀리그램(라베프라졸,탄산수소나트륨)_(1정)","한림제약(주)","비급여","20220251","2022-05-27"
"지질저하제","Group 2","218B0001","Nicotinic Acid ","730801BIJ","052402221","브이트리주(나이아신)_(50mg/1mL)","㈜인트로바이오파마","비급여","20170079","2017-02-16"
"정신신경용제","Group 12","117L0002","Clomipramine","734500ATB","657309020","구세정15/50밀리그램(클로미프라민염산염,실데나필시트르산염)_(1정)","(주)동구바이오제약","비급여","20170079","2017-02-16"
"정신신경용제","Group 12","117L0002","Clomipramine","734500ATB","669502770","원투정15/50밀리그램(클로미프라민염산염,실데나필시트르산염)_(1정)","(주)씨티씨바이오","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A03200ATB","646902620","우먼스타이레놀정_(1정)","(주)한국얀센","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A04200ATB","641100110","사리돈에이정_(1정)","바이엘코리아(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A04400ATB","626500060","판피린티정_(1정)","동아제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A04400ATB","626500060","판피린티정_(1정)","동아제약(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A04400ATB","656001530","콜핀정(수출명:페러그립씨정)_(1정)","알리코제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A04400ATB","656001530","콜핀정(수출명:페러그립씨정)_(1정)","알리코제약(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 1","114A0013","ethenzamide","A04600ACS","661604950","디펜에이스연질캡슐_(1캡슐)","(주)알피바이오","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A04600ACS","661604950","디펜에이스연질캡슐_(1캡슐)","(주)알피바이오","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A04600ATB","621804300","이디아엔정_(1정)","(주)한국파비스제약","비급여","20170079","2017-02-16"
"해열진통소염제","Group 1","114A0013","ethenzamide","A04600ATB","621804300","이디아엔정_(1정)","(주)한국파비스제약","비급여","20170079","2017-02-16"
"해열진통소염제","Group 1","114A0013","ethenzamide","A04600ATB","641705980","속콜펜정_(1정)","일양약품(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A04600ATB","641705980","속콜펜정_(1정)","일양약품(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A04600ATB","643305020","펜잘큐정_(1정)","(주)종근당","비급여","20170079","2017-02-16"
"해열진통소염제","Group 1","114A0013","ethenzamide","A04600ATB","643305020","펜잘큐정_(1정)","(주)종근당","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A04600ATB","694206230","이즈펜큐정 _(1정)","정우신약(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 1","114A0013","ethenzamide","A04600ATB","694206230","이즈펜큐정 _(1정)","정우신약(주)","비급여","20170079","2017-02-16"
"소화성궤양용제","Group 1","232A0002","famotidine","A04700ATB","052401950","페리에정_(1정)","(주)인트로바이오파마","비급여","20220251","2022-05-27"
"소화성궤양용제","Group 1","232A0002","famotidine","A04700ATB","641607570","파모쓰리정_(1정)","(주)대웅제약","비급여","20220251","2022-05-27"
"소화성궤양용제","Group 1","232A0002","famotidine","A04700ATB","641807100","듀얼파모정_(1정)","광동제약(주)","비급여","20220251","2022-05-27"
"소화성궤양용제","Group 1","232A0002","famotidine","A04700ATB","642707150","소가프텐정_(1정)","동화약품(주)","비급여","20220251","2022-05-27"
"소화성궤양용제","Group 1","232A0002","famotidine","A04700ATB","643308760","파미딘플러스정_(1정)","(주)종근당","비급여","20220251","2022-05-27"
"소화성궤양용제","Group 1","232A0002","famotidine","A04700ATB","649105310","파모비스정_(1정)","한국휴텍스제약(주)","비급여","20220251","2022-05-27"
"소화성궤양용제","Group 1","232A0002","famotidine","A04700ATB","649700930","파모콤푸츄정_(1정)","지엘파마(주)","비급여","20220251","2022-05-27"
"소화성궤양용제","Group 1","232A0002","famotidine","A04700ATB","649702720","파모콤푸정_(1정)","지엘파마(주)","비급여","20220251","2022-05-27"
"소화성궤양용제","Group 1","232A0002","famotidine","A04700ATB","694206180","파모컴정_(1정)","정우신약(주)","비급여","20220251","2022-05-27"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A05900ACH","622800270","코엔드에프캡슐_(1캡슐)","(주)마더스제약","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A05900ACH","641501400","그린노즈에스캡슐_(1캡슐)","맥널티제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A05900ACH","642102330","콘택골드캡슐_(1캡슐)","(주)유한양행","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","052700480","파뚜루정_(1정)","크리스탈생명과학(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","052700480","파뚜루정_(1정)","크리스탈생명과학(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","052700480","파뚜루정_(1정)","크리스탈생명과학(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","054801330","엔비코프정_(1정)","엔비케이제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","054801330","엔비코프정_(1정)","엔비케이제약(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","054801330","엔비코프정_(1정)","엔비케이제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","073200090","엔디콜노즈정_(1정)","주식회사 노바엠헬스케어","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","073200090","엔디콜노즈정_(1정)","주식회사 노바엠헬스케어","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","073200090","엔디콜노즈정_(1정)","주식회사 노바엠헬스케어","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","621800220","안티노정_(1정)","(주)한국파비스제약","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","621800220","안티노정_(1정)","(주)한국파비스제약","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","621800220","안티노정_(1정)","(주)한국파비스제약","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","622800710","시원정_(1정)","(주)마더스제약","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","622800710","시원정_(1정)","(주)마더스제약","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","622800710","시원정_(1정)","(주)마더스제약","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","641702530","프리노즈정_(1정)","일양약품(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","641702530","프리노즈정_(1정)","일양약품(주)","비급여","20170079","2017-02-16"
