식약분류,주성분코드,제품코드,제품명,업체명,ATC코드,ATC코드 명칭
112,130830ASY,645302132,포크랄시럽(포수클로랄)_(9.5g/95mL),한림제약(주),N05CC01,chloral hydrate
112,130832ASY,645302133,포크랄시럽(포수클로랄)_(1g/10mL),한림제약(주),N05CC01,chloral hydrate
112,130833ASY,645302135,포크랄시럽(포수클로랄)_(0.5g/5mL),한림제약(주),N05CC01,chloral hydrate
112,149203ATB,651904420,명세핀정3밀리그램(독세핀염산염)_(3.39mg/1정),명인제약(주),N05CM,Other hypnotics and sedatives
112,149203ATB,640006660,사일레노정3밀리그램(독세핀염산염)_(3.39mg/1정),에이치케이이노엔(주),N05CM,Other hypnotics and sedatives
112,149203ATB,653006890,파마독세핀정3밀리그램(독세핀염산염)_(3.39mg/1정),(주)한국파마,N05CM,Other hypnotics and sedatives
112,149204ATB,651904430,명세핀정6밀리그램(독세핀염산염)_(6.78mg/1정),명인제약(주),N05CM,Other hypnotics and sedatives
112,149204ATB,640006770,사일레노정6밀리그램(독세핀염산염)_(6.78mg/1정),에이치케이이노엔(주),N05CM,Other hypnotics and sedatives
112,149204ATB,653006900,파마독세핀정6밀리그램(독세핀염산염)_(6.78mg/1정),(주)한국파마,N05CM,Other hypnotics and sedatives
112,160601ATB,651900330,루나팜정(플루니트라제팜)_(1mg/1정),명인제약(주),N05CD03,flunitrazepam
112,160601ATB,657200130,라제팜정(플루니트라제팜)_(1mg/1정),환인제약(주),N05CD03,flunitrazepam
112,161801ATB,642800250,달마돔정(플루라제팜염산염)_(15mg/1정),고려제약(주),N05CD01,flurazepam
112,211701ATB,657802870,하나페노바르비탈정_(30mg/1정),하나제약(주),N03AA02,phenobarbital
112,243501ATB,657202920,트리람정0.125밀리그램(트리아졸람)_(0.125mg/1정),환인제약(주),N05CD05,triazolam
112,243501ATB,651901770,졸민정0.125밀리그람(트리아졸람)_(0.125mg/1정),명인제약(주),N05CD05,triazolam
112,243502ATB,651901780,졸민정0.25밀리그램(트리아졸람)_(0.25mg/1정),명인제약(주),N05CD05,triazolam
112,243502ATB,657200830,트리람정0.25밀리그램(트리아졸람)_(0.25mg/1정),환인제약(주),N05CD05,triazolam
112,250501ATB,651901790,졸피신정10mg(졸피뎀타르타르산염)_(10mg/1정),명인제약(주),N05CF02,zolpidem
112,250501ATB,649806810,스틸렉스정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),명문제약(주),N05CF02,zolpidem
112,250501ATB,657200670,졸피람정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),환인제약(주),N05CF02,zolpidem
112,250501ATB,653003460,파마주석산졸피뎀정(졸피뎀타르타르산염)_(10mg/1정),(주)한국파마,N05CF02,zolpidem
112,250501ATB,668100180,산도스졸피뎀정10mg(주석산졸피뎀)_(10mg/1정),한국산도스(주),N05CF02,zolpidem
112,250501ATB,652100640,스틸녹스정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),(주)한독,N05CF02,zolpidem
112,250501ATB,642801200,졸피움정(졸피뎀타르타르산염)_(10mg/1정),고려제약(주),N05CF02,zolpidem
112,250501ATB,643502320,졸피드정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),한미약품(주),N05CF02,zolpidem
112,250501ATB,649507420,스립정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),유니메드제약(주),N05CF02,zolpidem
112,250502ATB,651904470,졸피신정5mg(졸피뎀타르타르산염)_(5mg/1정),명인제약(주),N05CF02,zolpidem
112,250502ATB,643507160,졸피드정5밀리그램(졸피뎀타르타르산염)_(5mg/1정),한미약품(주),N05CF02,zolpidem
112,250502ATB,649507410,스립정5밀리그램(졸피뎀타르타르산염)_(5mg/1정),유니메드제약(주),N05CF02,zolpidem
112,250503ATR,652100660,스틸녹스CR정6.25밀리그램(졸피뎀타르타르산염)_(6.25mg/1정),(주)한독,N05CF02,zolpidem
112,250504ATR,652100650,스틸녹스CR정12.5밀리그램(졸피뎀타르타르산염)_(12.5mg/1정),(주)한독,N05CF02,zolpidem
112,680401ATB,642404880,영진조피클론정1밀리그램(에스조피클론)_(1mg/1정),영진약품(주),N05CF04,eszopiclone
112,680401ATB,651904900,조스정1밀리그램(에스조피클론)_(1mg/1정),명인제약(주),N05CF04,eszopiclone
112,680401ATB,670608170,조피스타정1밀리그램(에스조피클론)_(1mg/1정),(주)휴온스,N05CF04,eszopiclone
112,680402ATB,642404890,영진조피클론정2밀리그램(에스조피클론)_(2mg/1정),영진약품(주),N05CF04,eszopiclone
