product_code,product_name,comp,cancel,appr_date,std_code,atc,ing_en,e_code,raw_material,appr_type,atc_1,atc_2,atc_3,atc_4
201507217,"1. 포비딘인후스프레이액(포비돈요오드)(바닐라향), 2. 포비딘인후스프레이액(포비돈요오드)(청포도향)",(주)퍼슨,정상,2015-10-16,TN,R02AA15,Povidone Iodine,201507217.0,완제의약품,신고,R,R02,R02A,R02AA
200511943,1.셀레나제100마이크로그램퍼오랄액(아셀렌산나트륨오수화물)2.셀레나제티퍼오랄액(아셀렌산나트륨오수화물),비오신코리아(주),정상,2005-12-27,"8806748000102,8806748000119,8806748000126,8806748000713,8806748000720,8806748000706",A12CE02,Sodium Selenite Pentahydrate,200511943.0,완제의약품,신고,A,A12,A12C,A12CE
201701571,1.셀레뉴원오랄액(아셀렌산나트륨오수화물) 2.셀큐민185오랄액(아셀렌산나트륨오수화물),(주)한국비엠아이,정상,2017-03-31,"8806548022908,8806548022922,8806548022915,8806548023714,8806548023721,8806548022939,8806548023707",A12CE02,Sodium Selenite Pentahydrate,201701571.0,완제의약품,신고,A,A12,A12C,A12CE
199200813,1.영진구론산바몬드액2.영진구론산바몬드스파클링액,해태에이치티비(주),정상,1992-06-27,"8806275000200,8806424006909,8806424006916,8806275000217",A13A,Glucuronolactone/Orotic Acid Hydrate/Anhydrous Caffeine/Nicotinamide/Riboflavin/Pyridoxine Hydrochloride,199200813.0,완제의약품,신고,A,A13,A13A,A13A
200005559,1.큐앤큐포비돈거즈볼-중(포비돈요오드)2.큐앤큐포비돈거즈볼-대(포비돈요오드),큐앤큐팜(주),정상,2000-03-28,"8806810001402,8806810001426,8806810001419,8806810001433,8806810001440,8806810001457,8806810001464,8806810001471,8806810001488,8806810005714,8806810005721,8806810005738,8806810005745,8806810005707,8806810007039,8806810007046,8806810007015,8806810007022,8806810007138,8806810007145,8806810007152,8806810007114,8806810007121,8806810007053,8806810007008,8806810007107,8806810007411,8806810007428,8806810007435,8806810007442,8806810007459,8806810007510,8806810007527,8806810007534,8806810007541,8806810007558,8806810007404,8806810007503,8806810008319,8806810008326,8806810008210,8806810008227,8806810008203,8806810008302,8806810008333,8806810008234,8806810008241,8806810001495",D08AG02,Povidone Iodine,200005559.0,완제의약품,신고,D,D08,D08A,D08AG
201904494,5-엠씨크림(리도카인),주식회사 더유제약,정상,2019-07-02,"8800570000200,8800570000217,8800570000224,8800570000231",N01BB02,Lidocaine,201904494.0,완제의약품,신고,N,N01,N01B,N01BB
201802476,가그린목액,동아제약(주),정상,2018-06-15,"8806265018109,8806265018116,8806265018123",A01AD11,Benzydamine Hydrochloride/Cetylpyridinium Chloride Hydrate,,완제의약품,허가,A,A01,A01A,A01AD
201600574,가네진정,(주)셀트리온제약,정상,2016-01-28,"8806939020629,8806939020636,8806939020605,8806939020612,8806939020643,8806939020650",A05BA,Carnitine Orotate/Antitoxic Liver Extract/Adenine Hydrochloride/Pyridoxine Hydrochloride/Riboflavin/Cyanocobalamin Powder 1%,201600574.0,완제의약품,허가,A,A05,A05B,A05BA
202005641,가네치온정100밀리그램(글루타티온(환원형)),주식회사 더유제약,정상,2020-08-04,"8800570014504,8800570014511",V03AB32,Glutathione (Reduced),202005641.0,완제의약품,신고,V,V03,V03A,V03AB
198601398,가네카정,지엘파마(주),정상,1986-06-24,"8806497000101,8806497000118,8806497000125,8806497000132,8806497000149,8806497000156,8806497000163,8806497000170,8806497000187,8806497000194,8806497018212",R01BA52,Triprolidine Hydrochloride Hydrate/Pseudoephedrine Hydrochloride,198601398.0,완제의약품,신고,R,R01,R01B,R01BA
